Case.File.Number,Latitude,Longitude,Location.Name
0122204,55.94884,-3.189358,"Old Fishmarket Cl, Edinburgh, Scotland"
9982211,52.36755,4.90433,"Amsterdam, Netherlands"
9982211,50.72017,-1.88451,"The Triangle, Bournemouth, UK"
0070107,51.46599,-0.14106,"Clapham, London"
0132806,51.516,-0.20896,"Notting Hill, London"
